broker_id,brand,experience_years,store_location,conversion_rate,active_loans
1,Aussie,17,NSW,0.3931590180903807,238
2,Smartline,9,WA,0.1918059807675621,90
3,Mortgage Choice,1,QLD,0.1696335493456344,15
4,Loan Market,20,QLD,0.3046142264350949,200
5,Lendi,13,WA,0.3207524089054334,91
6,Lendi,16,VIC,0.3659604610541021,160
7,Lendi,13,NSW,0.334317429907397,104
8,Mortgage Choice,14,QLD,0.3023577036000546,168
9,Loan Market,3,VIC,0.2314401261947293,45
10,Mortgage Choice,6,NSW,0.2927727093248624,60
11,Lendi,18,WA,0.3447431902383913,234
12,Smartline,19,NSW,0.3522148239454525,114
13,Mortgage Choice,5,QLD,0.2052212041120727,40
14,Lendi,15,VIC,0.3032811948937027,120
15,Lendi,2,WA,0.1421645431396457,28
16,Lendi,10,NSW,0.2412141510915471,100
17,Aussie,18,SA,0.4160514602802185,252
18,Loan Market,13,QLD,0.3230158698262401,182
19,Aussie,5,NSW,0.1831668855459668,30
20,Aussie,1,VIC,0.1,7
21,Loan Market,1,SA,0.1,10
22,Lendi,18,VIC,0.3736200178910657,162
23,Aussie,15,NSW,0.2457455420513913,225
24,Aussie,17,VIC,0.3542547734608184,238
25,Aussie,11,VIC,0.2347052696297241,132
26,Mortgage Choice,17,QLD,0.3472132021103236,187
27,Lendi,13,QLD,0.298234970546695,156
28,Loan Market,1,VIC,0.1562206476861748,6
29,Loan Market,2,NSW,0.1501952353522518,12
30,Lendi,9,QLD,0.2330450031037293,117
31,Loan Market,3,VIC,0.1507723353372246,21
32,Lendi,1,NSW,0.1689362311034661,15
33,Lendi,16,WA,0.3601817436173332,224
34,Smartline,6,QLD,0.1693359617112356,72
35,Smartline,17,QLD,0.3421930034697706,187
36,Mortgage Choice,5,QLD,0.2068803725720708,30
37,Aussie,5,VIC,0.2064319897118064,30
38,Lendi,6,QLD,0.2178369366858781,42
39,Loan Market,3,VIC,0.1619287816379171,33
40,Aussie,5,NSW,0.2097660648911888,55
41,Lendi,5,VIC,0.2216310048844267,35
42,Aussie,10,VIC,0.2649362829537897,60
43,Lendi,10,QLD,0.2777078942786803,150
44,Smartline,19,NSW,0.4026623693863127,190
45,Aussie,17,NSW,0.2792170874736656,170
46,Loan Market,14,NSW,0.3410212344652879,98
47,Aussie,9,NSW,0.2599849717827446,99
48,Loan Market,14,QLD,0.2690931135291446,196
49,Loan Market,1,NSW,0.1800864808811891,7
50,Lendi,19,QLD,0.3540587682891613,285
51,Smartline,13,VIC,0.2868311747288506,91
52,Mortgage Choice,13,VIC,0.2782312076137018,104
53,Smartline,4,WA,0.1985839595483378,48
54,Smartline,1,VIC,0.1245126400120781,11
55,Loan Market,17,QLD,0.3755516120481725,221
