date,segment,loan_purpose,loan_count,loan_value_million
2002-09-01,Investor,External refinancing,,1127.8
2002-09-01,Investor,Total dwellings excluding refinancing,,11009.5
2002-12-01,Investor,External refinancing,,1398.3
2002-12-01,Investor,Total dwellings excluding refinancing,,10978.6
2003-03-01,Investor,External refinancing,,1734.2
2003-03-01,Investor,Total dwellings excluding refinancing,,12179.5
2003-06-01,Investor,External refinancing,,1773.8
2003-06-01,Investor,Total dwellings excluding refinancing,,13117.8
2003-09-01,Investor,External refinancing,,2050.7
2003-09-01,Investor,Total dwellings excluding refinancing,,16164.3
2003-12-01,Investor,External refinancing,,2366.6
2003-12-01,Investor,Total dwellings excluding refinancing,,16277.6
2004-03-01,Investor,External refinancing,,2208.8
2004-03-01,Investor,Total dwellings excluding refinancing,,14225.0
2004-06-01,Investor,External refinancing,,2484.9
2004-06-01,Investor,Total dwellings excluding refinancing,,12936.5
2004-09-01,Investor,External refinancing,,2634.9
2004-09-01,Investor,Total dwellings excluding refinancing,,12627.6
2004-12-01,Investor,External refinancing,,2143.0
2004-12-01,Investor,Total dwellings excluding refinancing,,12980.0
2005-03-01,Investor,External refinancing,,2196.3
2005-03-01,Investor,Total dwellings excluding refinancing,,13937.1
2005-06-01,Investor,External refinancing,,2623.7
2005-06-01,Investor,Total dwellings excluding refinancing,,13059.4
2005-09-01,Investor,External refinancing,,2822.1
2005-09-01,Investor,Total dwellings excluding refinancing,,13035.1
2005-12-01,Investor,External refinancing,,2969.0
2005-12-01,Investor,Total dwellings excluding refinancing,,14003.6
2006-03-01,Investor,External refinancing,,2770.4
2006-03-01,Investor,Total dwellings excluding refinancing,,14726.4
2006-06-01,Investor,External refinancing,,2633.8
2006-06-01,Investor,Total dwellings excluding refinancing,,15512.4
2006-09-01,Investor,External refinancing,,2641.4
2006-09-01,Investor,Total dwellings excluding refinancing,,14541.0
2006-12-01,Investor,External refinancing,,2621.0
2006-12-01,Investor,Total dwellings excluding refinancing,,13600.9
2007-03-01,Investor,External refinancing,,3338.6
2007-03-01,Investor,Total dwellings excluding refinancing,,15707.3
2007-06-01,Investor,External refinancing,,3215.5
2007-06-01,Investor,Total dwellings excluding refinancing,,17712.1
2007-09-01,Investor,External refinancing,,3234.1
2007-09-01,Investor,Total dwellings excluding refinancing,,17686.0
2007-12-01,Investor,External refinancing,,3509.8
2007-12-01,Investor,Total dwellings excluding refinancing,,17015.6
2008-03-01,Investor,External refinancing,,3728.3
2008-03-01,Investor,Total dwellings excluding refinancing,,15656.0
2008-06-01,Investor,External refinancing,,3392.8
2008-06-01,Investor,Total dwellings excluding refinancing,,13528.0
2008-09-01,Investor,External refinancing,,3670.2
2008-09-01,Investor,Total dwellings excluding refinancing,,12842.4
2008-12-01,Investor,External refinancing,,4179.3
2008-12-01,Investor,Total dwellings excluding refinancing,,12501.3
2009-03-01,Investor,External refinancing,,4754.5
2009-03-01,Investor,Total dwellings excluding refinancing,,12770.7
2009-06-01,Investor,External refinancing,,4688.5
2009-06-01,Investor,Total dwellings excluding refinancing,,13889.8
2009-09-01,Investor,External refinancing,,4118.5
2009-09-01,Investor,Total dwellings excluding refinancing,,15547.0
2009-12-01,Investor,External refinancing,,3487.5
2009-12-01,Investor,Total dwellings excluding refinancing,,15962.2
2010-03-01,Investor,External refinancing,,2711.5
2010-03-01,Investor,Total dwellings excluding refinancing,,16326.6
2010-06-01,Investor,External refinancing,,2682.8
2010-06-01,Investor,Total dwellings excluding refinancing,,16352.8
2010-09-01,Investor,External refinancing,,2747.2
2010-09-01,Investor,Total dwellings excluding refinancing,,15265.4
2010-12-01,Investor,External refinancing,,2995.5
2010-12-01,Investor,Total dwellings excluding refinancing,,15033.5
2011-03-01,Investor,External refinancing,,2934.4
2011-03-01,Investor,Total dwellings excluding refinancing,,13979.2
2011-06-01,Investor,External refinancing,,3451.4
2011-06-01,Investor,Total dwellings excluding refinancing,,13837.3
2011-09-01,Investor,External refinancing,,3661.6
2011-09-01,Investor,Total dwellings excluding refinancing,,14214.1
2011-12-01,Investor,External refinancing,,3665.0
2011-12-01,Investor,Total dwellings excluding refinancing,,13896.5
2012-03-01,Investor,External refinancing,,4487.9
2012-03-01,Investor,Total dwellings excluding refinancing,,15276.9
2012-06-01,Investor,External refinancing,,4304.3
2012-06-01,Investor,Total dwellings excluding refinancing,,14887.2
2012-09-01,Investor,External refinancing,,4546.9
2012-09-01,Investor,Total dwellings excluding refinancing,,15117.7
2012-12-01,Investor,External refinancing,,4721.3
2012-12-01,Investor,Total dwellings excluding refinancing,,15678.1
2013-03-01,Investor,External refinancing,,4947.2
2013-03-01,Investor,Total dwellings excluding refinancing,,17266.0
2013-06-01,Investor,External refinancing,,5156.7
2013-06-01,Investor,Total dwellings excluding refinancing,,18846.5
2013-09-01,Investor,External refinancing,,7882.4
2013-09-01,Investor,Total dwellings excluding refinancing,,19937.1
2013-12-01,Investor,External refinancing,,8918.4
2013-12-01,Investor,Total dwellings excluding refinancing,,22008.1
2014-03-01,Investor,External refinancing,,9309.5
2014-03-01,Investor,Total dwellings excluding refinancing,,22423.8
2014-06-01,Investor,External refinancing,,10256.5
