application_id,customer_id,broker_id,brand,application_channel,submitted_date,loan_amount,property_value,lvr,interest_rate,approved,lvr_bin,rate_bin,month
1,7271,168,Lendi,Online,2022-06-21,238381.0,270397.0,0.8815963194857931,4.94,1,"(0.85, 0.9]","(4.5, 5.0]",6
2,861,293,Mortgage Choice,Broker,2022-11-01,267329.0,385223.0,0.6939590834399815,4.32,1,"(0.65, 0.7]","(4.0, 4.5]",11
3,5391,374,Loan Market,Online,2017-11-13,396190.0,498657.0,0.7945140647779937,4.02,0,"(0.75, 0.8]","(4.0, 4.5]",11
4,5192,49,Loan Market,Online,2024-05-16,177813.0,233186.0,0.7625372020618734,4.85,0,"(0.75, 0.8]","(4.5, 5.0]",5
5,5735,250,Mortgage Choice,Online,2023-08-15,195103.0,250535.0,0.7787454846628216,4.57,1,"(0.75, 0.8]","(4.5, 5.0]",8
6,6266,482,Loan Market,Broker,2024-08-28,207407.0,263343.0,0.7875926073599829,4.5,1,"(0.75, 0.8]","(4.0, 4.5]",8
7,467,331,Aussie,Broker,2021-09-16,112351.0,181796.0,0.6180058967193998,5.26,1,"(0.6, 0.65]","(5.0, 5.5]",9
8,4427,420,Mortgage Choice,Online,2024-05-01,264040.0,304011.0,0.8685212048248254,5.16,1,"(0.85, 0.9]","(5.0, 5.5]",5
9,5579,75,Mortgage Choice,Online,2023-02-06,324600.0,505542.0,0.6420831503613943,4.09,1,"(0.6, 0.65]","(4.0, 4.5]",2
10,8323,201,Loan Market,Online,2021-12-12,206950.0,284534.0,0.7273295985716997,4.49,1,"(0.7, 0.75]","(4.0, 4.5]",12
11,1686,454,Smartline,Online,2024-04-03,322536.0,469059.0,0.6876235185765543,4.16,1,"(0.65, 0.7]","(4.0, 4.5]",4
12,770,34,Smartline,Broker,2018-08-23,242923.0,317080.0,0.7661252680711492,4.34,1,"(0.75, 0.8]","(4.0, 4.5]",8
13,6950,314,Smartline,Online,2020-01-12,429838.0,483808.0,0.88844748329916,4.57,1,"(0.85, 0.9]","(4.5, 5.0]",1
14,2434,111,Aussie,Broker,2021-04-05,172338.0,238126.0,0.7237260945885792,4.63,1,"(0.7, 0.75]","(4.5, 5.0]",4
15,5312,421,Mortgage Choice,Online,2019-04-21,266249.0,340927.0,0.7809560404426754,4.34,1,"(0.75, 0.8]","(4.0, 4.5]",4
16,5052,352,Mortgage Choice,Broker,2017-12-14,116274.0,181015.0,0.6423445570809049,3.9,1,"(0.6, 0.65]","(3.5, 4.0]",12
17,6421,316,Loan Market,Broker,2020-07-19,355468.0,481073.0,0.7389065692732704,3.87,1,"(0.7, 0.75]","(3.5, 4.0]",7
18,1185,396,Smartline,Broker,2017-11-27,322092.0,368216.0,0.8747365676668043,5.03,0,"(0.85, 0.9]","(5.0, 5.5]",11
19,4556,237,Aussie,Online,2018-09-02,119947.0,136346.0,0.8797251111143708,5.1,0,"(0.85, 0.9]","(5.0, 5.5]",9
20,3386,32,Lendi,Online,2022-04-29,222461.0,291206.0,0.763930001442278,4.52,1,"(0.75, 0.8]","(4.5, 5.0]",4
21,6397,209,Lendi,Online,2019-01-14,368485.0,443650.0,0.8305759044291672,5.05,1,"(0.8, 0.85]","(5.0, 5.5]",1
22,8667,132,Lendi,Broker,2018-07-23,116262.0,193458.0,0.6009676518934343,3.48,1,"(0.6, 0.65]","(3.0, 3.5]",7
23,9275,106,Lendi,Online,2021-08-12,156248.0,205738.0,0.759451341025965,3.95,1,"(0.75, 0.8]","(3.5, 4.0]",8
24,2559,33,Lendi,Online,2023-09-03,690503.0,842343.0,0.8197408894001612,4.77,1,"(0.8, 0.85]","(4.5, 5.0]",9
25,7850,43,Lendi,Broker,2019-08-29,250995.0,359097.0,0.6989615619178106,4.78,1,"(0.65, 0.7]","(4.5, 5.0]",8
26,2048,368,Smartline,Online,2019-01-17,680375.0,781729.0,0.8703463732316442,4.69,1,"(0.85, 0.9]","(4.5, 5.0]",1
27,2748,107,Aussie,Broker,2022-12-25,238197.0,285646.0,0.8338887994230622,5.09,1,"(0.8, 0.85]","(5.0, 5.5]",12
28,9168,265,Mortgage Choice,Broker,2021-10-31,392561.0,472448.0,0.8309083751015984,5.02,1,"(0.8, 0.85]","(5.0, 5.5]",10
29,9999,226,Lendi,Broker,2020-10-16,353562.0,583079.0,0.6063706633234948,5.01,1,"(0.6, 0.65]","(5.0, 5.5]",10
30,190,487,Lendi,Broker,2023-05-19,158482.0,241897.0,0.6551631479514008,4.11,0,"(0.65, 0.7]","(4.0, 4.5]",5
31,2735,179,Smartline,Online,2020-05-10,380991.0,468001.0,0.8140815938427483,4.64,1,"(0.8, 0.85]","(4.5, 5.0]",5
32,3006,222,Loan Market,Online,2019-10-16,296829.0,386236.0,0.7685171760270922,4.77,1,"(0.75, 0.8]","(4.5, 5.0]",10
33,4659,370,Lendi,Online,2024-08-23,271468.0,350943.0,0.7735387228125365,4.89,1,"(0.75, 0.8]","(4.5, 5.0]",8
34,1900,125,Lendi,Online,2024-01-23,291184.0,481739.0,0.6044434849576222,3.52,1,"(0.6, 0.65]","(3.5, 4.0]",1
35,7735,276,Loan Market,Online,2017-01-16,242515.0,331026.0,0.7326161691226671,4.6,1,"(0.7, 0.75]","(4.5, 5.0]",1
36,1268,167,Aussie,Broker,2018-07-22,269669.0,322597.0,0.8359315182720236,4.92,0,"(0.8, 0.85]","(4.5, 5.0]",7
37,1529,151,Smartline,Online,2022-07-18,672811.0,841995.0,0.7990676904257151,4.53,1,"(0.75, 0.8]","(4.5, 5.0]",7
38,3557,41,Lendi,Online,2021-06-02,213346.0,276452.0,0.7717289077308176,5.49,0,"(0.75, 0.8]","(5.0, 5.5]",6
39,3891,300,Lendi,Broker,2022-09-09,300482.0,371433.0,0.8089803544650045,4.79,1,"(0.8, 0.85]","(4.5, 5.0]",9
40,8839,381,Lendi,Online,2021-03-23,485851.0,568051.0,0.855294683047825,4.56,1,"(0.85, 0.9]","(4.5, 5.0]",3
41,5394,35,Smartline,Online,2022-04-16,527353.0,616889.0,0.8548588157675043,5.39,0,"(0.85, 0.9]","(5.0, 5.5]",4
42,8793,407,Aussie,Online,2024-06-04,439396.0,596351.0,0.7368076854067487,4.53,1,"(0.7, 0.75]","(4.5, 5.0]",6
43,8434,314,Smartline,Broker,2022-09-01,75209.0,108630.0,0.6923409739482648,4.55,1,"(0.65, 0.7]","(4.5, 5.0]",9
44,7514,304,Loan Market,Broker,2020-12-25,237871.0,335070.0,0.7099143462560062,4.55,1,"(0.7, 0.75]","(4.5, 5.0]",12
45,2613,231,Mortgage Choice,Broker,2021-08-30,212558.0,281007.0,0.756415320614789,5.18,1,"(0.75, 0.8]","(5.0, 5.5]",8
46,7042,215,Mortgage Choice,Online,2024-05-31,408229.0,651280.0,0.6268102812922245,4.17,1,"(0.6, 0.65]","(4.0, 4.5]",5
47,9556,314,Smartline,Broker,2020-12-04,257046.0,330692.0,0.7772973038355933,4.4,0,"(0.75, 0.8]","(4.0, 4.5]",12
48,6236,101,Lendi,Online,2017-11-21,439894.0,597701.0,0.735976683994171,4.15,1,"(0.7, 0.75]","(4.0, 4.5]",11
49,5487,57,Lendi,Broker,2020-08-14,142149.0,171744.0,0.8276795695919508,4.75,0,"(0.8, 0.85]","(4.5, 5.0]",8
50,7100,215,Mortgage Choice,Broker,2023-02-07,105906.0,155246.0,0.6821818275511125,4.54,1,"(0.65, 0.7]","(4.5, 5.0]",2
51,9671,423,Lendi,Broker,2017-05-02,191106.0,308290.0,0.6198903629699309,4.26,1,"(0.6, 0.65]","(4.0, 4.5]",5
52,776,156,Lendi,Broker,2022-12-12,508231.0,585269.0,0.868371637657214,4.73,0,"(0.85, 0.9]","(4.5, 5.0]",12
53,8227,64,Aussie,Online,2021-01-16,396904.0,639731.0,0.620423271656368,4.07,1,"(0.6, 0.65]","(4.0, 4.5]",1
54,3153,62,Aussie,Online,2017-09-23,241291.0,274761.0,0.8781850408172921,5.54,1,"(0.85, 0.9]","(5.5, 6.5]",9
55,1586,339,Aussie,Broker,2017-01-28,246753.0,329334.0,0.7492484833026654,4.22,1,"(0.7, 0.75]","(4.0, 4.5]",1
56,3944,369,Lendi,Online,2020-07-06,396622.0,642943.0,0.6168851671143476,3.57,1,"(0.6, 0.65]","(3.5, 4.0]",7
57,7556,368,Smartline,Broker,2022-10-26,116043.0,181956.0,0.6377530831629624,4.39,1,"(0.6, 0.65]","(4.0, 4.5]",10
58,3074,62,Aussie,Broker,2018-03-08,192558.0,253404.0,0.7598854003883128,5.4,1,"(0.75, 0.8]","(5.0, 5.5]",3
59,1022,94,Loan Market,Broker,2019-05-29,159082.0,263061.0,0.6047342631556939,4.59,1,"(0.6, 0.65]","(4.5, 5.0]",5
60,3844,469,Lendi,Broker,2019-11-25,198882.0,227413.0,0.8745410332742631,5.12,1,"(0.85, 0.9]","(5.0, 5.5]",11
61,7990,472,Smartline,Online,2018-03-12,369420.0,440373.0,0.8388797678331777,5.21,0,"(0.8, 0.85]","(5.0, 5.5]",3
