date,segment,state,loan_count,loan_value_million
2002-09-01,Owner-occupier,ACT,1727,327.4
2002-09-01,Owner-occupier,NSW,27906,6374.5
2002-09-01,Owner-occupier,NT,573,77.7
2002-09-01,Owner-occupier,QLD,19177,3216.3
2002-09-01,Owner-occupier,SA,8125,1061.2
2002-09-01,Owner-occupier,TAS,2282,224.0
2002-09-01,Owner-occupier,VIC,19641,3759.9
2002-09-01,Owner-occupier,WA,10333,1623.0
2002-12-01,Owner-occupier,ACT,1863,358.9
2002-12-01,Owner-occupier,NSW,26185,6292.1
2002-12-01,Owner-occupier,NT,629,95.0
2002-12-01,Owner-occupier,QLD,19530,3396.0
2002-12-01,Owner-occupier,SA,7834,1109.2
2002-12-01,Owner-occupier,TAS,2411,255.9
2002-12-01,Owner-occupier,VIC,19632,3901.7
2002-12-01,Owner-occupier,WA,10509,1735.1
2003-03-01,Owner-occupier,ACT,1863,388.4
2003-03-01,Owner-occupier,NSW,27882,6795.9
2003-03-01,Owner-occupier,NT,700,114.0
2003-03-01,Owner-occupier,QLD,20705,3761.6
2003-03-01,Owner-occupier,SA,8305,1212.3
2003-03-01,Owner-occupier,TAS,2343,251.5
2003-03-01,Owner-occupier,VIC,20792,4172.7
2003-03-01,Owner-occupier,WA,11318,1958.2
2003-06-01,Owner-occupier,ACT,1769,401.6
2003-06-01,Owner-occupier,NSW,27983,7146.0
2003-06-01,Owner-occupier,NT,925,138.1
2003-06-01,Owner-occupier,QLD,21549,4138.5
2003-06-01,Owner-occupier,SA,8930,1339.4
2003-06-01,Owner-occupier,TAS,2340,267.0
2003-06-01,Owner-occupier,VIC,20221,4312.5
2003-06-01,Owner-occupier,WA,11827,2078.1
2003-09-01,Owner-occupier,ACT,1772,409.7
2003-09-01,Owner-occupier,NSW,28399,7614.4
2003-09-01,Owner-occupier,NT,764,138.7
2003-09-01,Owner-occupier,QLD,23721,4866.6
2003-09-01,Owner-occupier,SA,8843,1356.6
2003-09-01,Owner-occupier,TAS,2562,309.2
2003-09-01,Owner-occupier,VIC,20492,4576.0
