customer_id,age,income,employment_type,dependents,state,credit_score_band
1,60,56310.0,Full-time,0,NSW,Low
2,50,53746.0,Full-time,2,SA,Low
3,36,54968.0,Self-employed,1,SA,Low
4,64,149510.0,Full-time,0,WA,Good
5,29,34636.0,Full-time,0,VIC,Low
6,42,51365.0,Self-employed,2,WA,Low
7,60,126964.0,Part-time,0,NSW,Good
8,40,50946.0,Full-time,0,NSW,Low
9,44,37501.0,Full-time,0,VIC,Low
10,32,68289.0,Full-time,0,WA,Medium
11,32,89574.0,Self-employed,0,NSW,Medium
12,45,49197.0,Full-time,3,VIC,Low
13,57,78999.0,Contract,2,VIC,Medium
14,61,30082.0,Self-employed,2,VIC,Low
15,45,30930.0,Full-time,0,NSW,Low
16,24,48048.0,Full-time,3,NSW,Low
17,43,80419.0,Full-time,1,WA,Medium
18,23,87619.0,Contract,2,VIC,Medium
19,45,33156.0,Full-time,1,QLD,Low
20,65,86009.0,Self-employed,0,VIC,Medium
21,51,65072.0,Full-time,2,NSW,Medium
22,59,38576.0,Full-time,1,NSW,Low
23,23,30727.0,Contract,3,NSW,Low
24,42,67165.0,Full-time,0,NSW,Medium
25,54,114094.0,Part-time,3,NSW,Good
26,33,60947.0,Full-time,0,QLD,Medium
27,43,37517.0,Self-employed,0,QLD,Low
28,65,23529.0,Self-employed,1,QLD,Low
29,46,128636.0,Self-employed,1,SA,Good
30,48,100803.0,Full-time,1,QLD,Good
31,63,69636.0,Full-time,1,NSW,Medium
32,49,125367.0,Full-time,0,VIC,Good
33,37,66967.0,Full-time,1,NSW,Medium
34,36,45912.0,Part-time,0,QLD,Low
35,65,79029.0,Full-time,1,NSW,Medium
36,24,39543.0,Full-time,0,NSW,Low
37,58,36395.0,Self-employed,0,NSW,Low
38,28,88063.0,Self-employed,3,SA,Medium
39,42,91847.0,Contract,0,QLD,Medium
40,30,31670.0,Full-time,1,NSW,Low
41,60,32261.0,Full-time,0,VIC,Low
42,39,47929.0,Full-time,0,NSW,Low
43,25,41955.0,Full-time,1,NSW,Low
44,46,75981.0,Full-time,0,NSW,Medium
45,35,61330.0,Contract,1,VIC,Medium
46,30,107200.0,Full-time,2,VIC,Good
47,47,70167.0,Full-time,2,VIC,Medium
48,23,43378.0,Full-time,2,SA,Low
49,41,23259.0,Full-time,1,NSW,Low
50,49,65495.0,Full-time,1,SA,Medium
51,28,25459.0,Full-time,1,QLD,Low
52,65,43111.0,Full-time,1,WA,Low
53,29,41737.0,Full-time,1,QLD,Low
54,56,46434.0,Full-time,0,VIC,Low
55,35,31007.0,Part-time,0,VIC,Low
56,38,41663.0,Full-time,0,NSW,Low
57,57,106187.0,Full-time,0,NSW,Good
58,61,106040.0,Contract,0,NSW,Good
59,25,128830.0,Full-time,1,VIC,Good
60,23,60179.0,Part-time,0,NSW,Medium
61,27,68570.0,Self-employed,1,VIC,Medium
62,63,106970.0,Full-time,2,WA,Good
63,25,28700.0,Self-employed,0,WA,Low
64,50,89573.0,Contract,0,QLD,Medium
65,39,114826.0,Full-time,0,NSW,Good
66,47,38389.0,Self-employed,1,NSW,Low
67,65,119530.0,Full-time,1,NSW,Good
68,55,167520.0,Full-time,1,VIC,Excellent
69,31,88338.0,Self-employed,0,SA,Medium
70,57,80600.0,Contract,1,NSW,Medium
71,35,34204.0,Part-time,2,VIC,Low
72,52,102191.0,Full-time,0,QLD,Good
73,36,35854.0,Full-time,2,NSW,Low
74,29,72032.0,Part-time,1,SA,Medium
75,35,75777.0,Full-time,0,NSW,Medium
76,44,11520.0,Contract,1,SA,Low
77,61,73343.0,Full-time,0,VIC,Medium
78,42,222068.0,Full-time,0,NSW,Excellent
79,37,21038.0,Full-time,0,NSW,Low
80,39,58282.0,Full-time,0,NSW,Low
81,45,22617.0,Part-time,0,VIC,Low
82,47,38289.0,Full-time,1,SA,Low
83,46,22814.0,Self-employed,2,QLD,Low
84,62,64846.0,Full-time,1,VIC,Medium
85,50,89037.0,Full-time,0,VIC,Medium
86,36,73487.0,Self-employed,3,VIC,Medium
87,22,37606.0,Full-time,0,NSW,Low
88,46,44148.0,Part-time,0,NSW,Low
89,28,68606.0,Self-employed,1,NSW,Medium
90,30,38198.0,Part-time,1,VIC,Low
91,45,30810.0,Full-time,0,VIC,Low
92,22,53127.0,Self-employed,1,NSW,Low
93,65,37333.0,Contract,0,SA,Low
94,29,73554.0,Full-time,1,NSW,Medium
95,45,114617.0,Part-time,1,NSW,Good
