date,segment,loan_purpose,loan_count,loan_value_million
2002-09-01,Owner-occupier,"Alterations, additions and repairs",,819.8
2002-09-01,Owner-occupier,Construction of dwellings,9777.0,2017.9
2002-09-01,Owner-occupier,External refinancing,32454.0,5139.6
2002-09-01,Owner-occupier,Purchase of existing dwellings,77142.0,13991.4
2002-09-01,Owner-occupier,Purchase of newly erected dwellings,3457.0,681.3
2002-09-01,Owner-occupier,Total,89705.0,16698.5
2002-12-01,Owner-occupier,"Alterations, additions and repairs",,1031.7
2002-12-01,Owner-occupier,Construction of dwellings,8713.0,1964.3
2002-12-01,Owner-occupier,External refinancing,33552.0,5442.1
2002-12-01,Owner-occupier,Purchase of existing dwellings,77467.0,14577.4
2002-12-01,Owner-occupier,Purchase of newly erected dwellings,3543.0,711.9
2002-12-01,Owner-occupier,Total,88932.0,17202.2
2003-03-01,Owner-occupier,"Alterations, additions and repairs",,1038.8
2003-03-01,Owner-occupier,Construction of dwellings,9955.0,2142.3
2003-03-01,Owner-occupier,External refinancing,35669.0,6047.0
2003-03-01,Owner-occupier,Purchase of existing dwellings,81271.0,15709.1
2003-03-01,Owner-occupier,Purchase of newly erected dwellings,3795.0,792.6
2003-03-01,Owner-occupier,Total,93663.0,18570.9
2003-06-01,Owner-occupier,"Alterations, additions and repairs",,1041.2
2003-06-01,Owner-occupier,Construction of dwellings,9597.0,2245.3
2003-06-01,Owner-occupier,External refinancing,37685.0,6554.2
2003-06-01,Owner-occupier,Purchase of existing dwellings,83258.0,16901.8
2003-06-01,Owner-occupier,Purchase of newly erected dwellings,3896.0,868.6
2003-06-01,Owner-occupier,Total,95978.0,20009.5
2003-09-01,Owner-occupier,"Alterations, additions and repairs",,1262.7
2003-09-01,Owner-occupier,Construction of dwellings,10181.0,2431.8
2003-09-01,Owner-occupier,External refinancing,41486.0,7765.8
2003-09-01,Owner-occupier,Purchase of existing dwellings,84836.0,18032.5
2003-09-01,Owner-occupier,Purchase of newly erected dwellings,4183.0,950.3
2003-09-01,Owner-occupier,Total,98332.0,21379.9
2003-12-01,Owner-occupier,"Alterations, additions and repairs",,1285.0
2003-12-01,Owner-occupier,Construction of dwellings,10326.0,2553.2
2003-12-01,Owner-occupier,External refinancing,44065.0,8010.9
2003-12-01,Owner-occupier,Purchase of existing dwellings,79450.0,17189.0
2003-12-01,Owner-occupier,Purchase of newly erected dwellings,5204.0,1221.2
2003-12-01,Owner-occupier,Total,94320.0,20909.8
2004-03-01,Owner-occupier,"Alterations, additions and repairs",,1213.8
2004-03-01,Owner-occupier,Construction of dwellings,9552.0,2338.9
2004-03-01,Owner-occupier,External refinancing,40121.0,7768.9
2004-03-01,Owner-occupier,Purchase of existing dwellings,70241.0,15603.6
2004-03-01,Owner-occupier,Purchase of newly erected dwellings,4415.0,1094.0
2004-03-01,Owner-occupier,Total,83192.0,18993.8
2004-06-01,Owner-occupier,"Alterations, additions and repairs",,1140.7
2004-06-01,Owner-occupier,Construction of dwellings,8975.0,2334.9
2004-06-01,Owner-occupier,External refinancing,37335.0,7491.1
2004-06-01,Owner-occupier,Purchase of existing dwellings,68435.0,15895.3
2004-06-01,Owner-occupier,Purchase of newly erected dwellings,4285.0,1080.7
2004-06-01,Owner-occupier,Total,81231.0,19314.5
2004-09-01,Owner-occupier,"Alterations, additions and repairs",,1084.9
2004-09-01,Owner-occupier,Construction of dwellings,8939.0,2320.2
2004-09-01,Owner-occupier,External refinancing,36076.0,7467.2
2004-09-01,Owner-occupier,Purchase of existing dwellings,70264.0,16417.6
2004-09-01,Owner-occupier,Purchase of newly erected dwellings,4603.0,1150.4
2004-09-01,Owner-occupier,Total,83231.0,19931.0
2004-12-01,Owner-occupier,"Alterations, additions and repairs",,1020.1
2004-12-01,Owner-occupier,Construction of dwellings,8858.0,2360.3
2004-12-01,Owner-occupier,External refinancing,35833.0,7534.3
2004-12-01,Owner-occupier,Purchase of existing dwellings,73042.0,17289.5
2004-12-01,Owner-occupier,Purchase of newly erected dwellings,4710.0,1205.2
2004-12-01,Owner-occupier,Total,85776.0,20813.7
2005-03-01,Owner-occupier,"Alterations, additions and repairs",,1028.7
2005-03-01,Owner-occupier,Construction of dwellings,8874.0,2404.4
2005-03-01,Owner-occupier,External refinancing,39922.0,8434.6
2005-03-01,Owner-occupier,Purchase of existing dwellings,76575.0,18310.8
2005-03-01,Owner-occupier,Purchase of newly erected dwellings,4899.0,1235.4
2005-03-01,Owner-occupier,Total,89125.0,21863.1
2005-06-01,Owner-occupier,"Alterations, additions and repairs",,1048.6
2005-06-01,Owner-occupier,Construction of dwellings,9352.0,2497.0
2005-06-01,Owner-occupier,External refinancing,43514.0,9311.8
2005-06-01,Owner-occupier,Purchase of existing dwellings,77167.0,18465.1
2005-06-01,Owner-occupier,Purchase of newly erected dwellings,5321.0,1322.0
2005-06-01,Owner-occupier,Total,91078.0,22257.3
2005-09-01,Owner-occupier,"Alterations, additions and repairs",,991.6
2005-09-01,Owner-occupier,Construction of dwellings,8981.0,2415.3
2005-09-01,Owner-occupier,External refinancing,43467.0,9470.2
2005-09-01,Owner-occupier,Purchase of existing dwellings,77876.0,19002.4
2005-09-01,Owner-occupier,Purchase of newly erected dwellings,5432.0,1450.0
2005-09-01,Owner-occupier,Total,91451.0,22864.7
2005-12-01,Owner-occupier,"Alterations, additions and repairs",,984.8
2005-12-01,Owner-occupier,Construction of dwellings,8985.0,2463.4
2005-12-01,Owner-occupier,External refinancing,43895.0,9519.7
2005-12-01,Owner-occupier,Purchase of existing dwellings,80979.0,19976.8
2005-12-01,Owner-occupier,Purchase of newly erected dwellings,5985.0,1591.7
2005-12-01,Owner-occupier,Total,94691.0,23921.0
2006-03-01,Owner-occupier,"Alterations, additions and repairs",,999.3
2006-03-01,Owner-occupier,Construction of dwellings,9416.0,2605.2
2006-03-01,Owner-occupier,External refinancing,43425.0,9513.7
2006-03-01,Owner-occupier,Purchase of existing dwellings,83051.0,20815.6
2006-03-01,Owner-occupier,Purchase of newly erected dwellings,6448.0,1738.3
2006-03-01,Owner-occupier,Total,97717.0,25132.5
2006-06-01,Owner-occupier,"Alterations, additions and repairs",,1020.8
2006-06-01,Owner-occupier,Construction of dwellings,9338.0,2585.6
2006-06-01,Owner-occupier,External refinancing,44879.0,9808.8
2006-06-01,Owner-occupier,Purchase of existing dwellings,85292.0,21550.4
2006-06-01,Owner-occupier,Purchase of newly erected dwellings,6808.0,1856.7
2006-06-01,Owner-occupier,Total,100258.0,25908.5
2006-09-01,Owner-occupier,"Alterations, additions and repairs",,1039.6
2006-09-01,Owner-occupier,Construction of dwellings,9604.0,2780.3
2006-09-01,Owner-occupier,External refinancing,48480.0,10671.7
2006-09-01,Owner-occupier,Purchase of existing dwellings,84240.0,21433.8
2006-09-01,Owner-occupier,Purchase of newly erected dwellings,6516.0,1738.2
2006-09-01,Owner-occupier,Total,99437.0,25925.0
2006-12-01,Owner-occupier,"Alterations, additions and repairs",,1014.0
2006-12-01,Owner-occupier,Construction of dwellings,9466.0,2734.3
2006-12-01,Owner-occupier,External refinancing,48003.0,10692.3
2006-12-01,Owner-occupier,Purchase of existing dwellings,80312.0,20853.3
2006-12-01,Owner-occupier,Purchase of newly erected dwellings,6203.0,1692.2
2006-12-01,Owner-occupier,Total,94692.0,25175.5
2007-03-01,Owner-occupier,"Alterations, additions and repairs",,980.6
2007-03-01,Owner-occupier,Construction of dwellings,9601.0,2813.7
2007-03-01,Owner-occupier,External refinancing,46107.0,10389.1
2007-03-01,Owner-occupier,Purchase of existing dwellings,83561.0,22338.7
2007-03-01,Owner-occupier,Purchase of newly erected dwellings,6815.0,1941.0
2007-03-01,Owner-occupier,Total,98982.0,27081.0
2007-06-01,Owner-occupier,"Alterations, additions and repairs",,986.7
